HumanEval_0.py: 0.009492s
Mbpp_3.py: 0.000353s
Mbpp_4.py: 0.000451s
HumanEval_4.py: 0.005501s
HumanEval_9.py: 0.002961s
Mbpp_9.py: 0.000004s
Mbpp_11.py: 0.000121s
Mbpp_12.py: 0.005599s
HumanEval_16.py: 0.004476s
Mbpp_16.py: 0.000053s
Mbpp_19.py: 0.000365s
HumanEval_20.py: 0.001903s
HumanEval_24.py: 0.000091s
HumanEval_26.py: 0.008269s
HumanEval_31.py: 0.000055s
HumanEval_33.py: 0.002487s
HumanEval_34.py: 0.004766s
HumanEval_36.py: 0.023035s
HumanEval_37.py: 0.000723s
HumanEval_49.py: 0.000034s
HumanEval_51.py: 0.001149s
HumanEval_54.py: 0.008134s
HumanEval_58.py: 0.003589s
HumanEval_59.py: 0.000056s
Mbpp_62.py: 0.017879s
HumanEval_64.py: 0.004963s
HumanEval_74.py: 0.002986s
Mbpp_75.py: 0.000125s
HumanEval_85.py: 0.015713s
HumanEval_86.py: 0.482542s
HumanEval_87.py: 0.004221s
Mbpp_88.py: 0.002103s
HumanEval_89.py: 0.001552s
HumanEval_90.py: 0.000854s
Mbpp_90.py: 0.000646s
Mbpp_94.py: 0.000734s
Mbpp_96.py: 0.000040s
Mbpp_97.py: 0.000354s
Mbpp_106.py: 0.000916s
Mbpp_108.py: 0.000507s
Mbpp_111.py: 0.003138s
HumanEval_113.py: 0.325154s
HumanEval_119.py: 0.000572s
HumanEval_120.py: 0.000042s
HumanEval_121.py: 0.003623s
Mbpp_123.py: 0.001446s
Mbpp_128.py: 0.000015s
Mbpp_129.py: 0.013872s
Mbpp_130.py: 0.001164s
Mbpp_137.py: 0.025977s
Mbpp_140.py: 0.003486s
Mbpp_141.py: 0.000015s
HumanEval_149.py: 0.027458s
Mbpp_166.py: 0.000067s
Mbpp_170.py: 0.021651s
Mbpp_226.py: 0.001123s
Mbpp_230.py: 0.000290s
Mbpp_239.py: 0.000376s
Mbpp_240.py: 0.001191s
Mbpp_251.py: 0.000821s
Mbpp_256.py: 0.000462s
Mbpp_265.py: 0.058464s
Mbpp_281.py: 0.000124s
Mbpp_296.py: 0.035909s
Mbpp_308.py: 0.013700s
Mbpp_392.py: 0.000208s
Mbpp_395.py: 0.001043s
Mbpp_405.py: 0.000176s
Mbpp_414.py: 0.000268s
Mbpp_421.py: 0.010029s
Mbpp_424.py: 0.000153s
Mbpp_425.py: 0.002841s
Mbpp_428.py: 0.000880s
Mbpp_433.py: 0.020048s
Mbpp_437.py: 0.001170s
Mbpp_440.py: 0.000022s
Mbpp_446.py: 0.001046s
Mbpp_451.py: 0.001116s
Mbpp_456.py: 0.016797s
Mbpp_460.py: 0.001711s
Mbpp_474.py: 0.000170s
Mbpp_476.py: 0.021458s
Mbpp_477.py: 0.000691s
Mbpp_563.py: 0.001292s
Mbpp_572.py: 0.000776s
Mbpp_578.py: 0.002062s
Mbpp_586.py: 0.000188s
Mbpp_587.py: 0.001248s
Mbpp_588.py: 0.028644s
Mbpp_592.py: 0.002639s
Mbpp_597.py: 0.041862s
Mbpp_604.py: 0.015025s
Mbpp_610.py: 0.009285s
Mbpp_611.py: 0.004732s
Mbpp_631.py: 0.000354s
Mbpp_632.py: 0.007849s
Mbpp_633.py: 0.000925s
Mbpp_644.py: 0.003145s
Mbpp_720.py: 0.009167s
Mbpp_725.py: 0.051888s
Mbpp_732.py: 0.000191s
Mbpp_740.py: 0.001126s
Mbpp_744.py: 0.007528s
Mbpp_750.py: 0.007263s
Mbpp_753.py: 0.051269s
Mbpp_754.py: 0.002494s
Mbpp_755.py: 0.008079s
Mbpp_757.py: 0.004992s
Mbpp_758.py: 0.003833s
Mbpp_760.py: 0.000102s
Mbpp_764.py: 0.042379s
Mbpp_766.py: 0.153438s
Mbpp_775.py: 0.038274s
Mbpp_777.py: 0.004606s
Mbpp_781.py: 0.000361s
Mbpp_800.py: 0.001153s
Mbpp_805.py: 0.005730s
Mbpp_808.py: 0.001614s
