HumanEval_0.py: 0.000178s
HumanEval_1.py: 0.000219s
HumanEval_2.py: 0.000021s
HumanEval_3.py: 0.000047s
HumanEval_4.py: 0.000146s
HumanEval_5.py: 0.000045s
HumanEval_6.py: 0.000195s
HumanEval_7.py: 0.000048s
HumanEval_8.py: 0.000042s
HumanEval_9.py: 0.000061s
HumanEval_10.py: 0.000068s
HumanEval_11.py: 0.000121s
HumanEval_12.py: 0.000047s
HumanEval_13.py: 0.000019s
HumanEval_14.py: 0.000056s
HumanEval_15.py: 0.000099s
HumanEval_16.py: 0.000060s
HumanEval_17.py: 0.000111s
HumanEval_18.py: 0.000182s
HumanEval_19.py: 0.000230s
HumanEval_20.py: 0.000193s
HumanEval_21.py: 0.000143s
HumanEval_22.py: 0.000043s
HumanEval_23.py: 0.000016s
HumanEval_24.py: 0.000044s
HumanEval_25.py: 0.000232s
HumanEval_26.py: 0.000201s
HumanEval_27.py: 0.000025s
HumanEval_28.py: 0.000021s
HumanEval_29.py: 0.000045s
HumanEval_30.py: 0.000044s
HumanEval_31.py: 0.000149s
HumanEval_35.py: 0.000016s
HumanEval_36.py: 0.240584s
HumanEval_37.py: 0.000145s
HumanEval_38.py: 0.053872s
HumanEval_39.py: 0.013742s
HumanEval_40.py: 0.000214s
HumanEval_41.py: 0.000014s
HumanEval_42.py: 0.000033s
HumanEval_43.py: 0.000113s
HumanEval_44.py: 0.000278s
HumanEval_45.py: 0.000010s
HumanEval_46.py: 0.000122s
HumanEval_47.py: 0.000066s
HumanEval_48.py: 0.000027s
HumanEval_49.py: 0.000111s
HumanEval_50.py: 0.069545s
HumanEval_51.py: 0.000132s
HumanEval_52.py: 0.000119s
HumanEval_53.py: 0.005797s
HumanEval_54.py: 0.000057s
HumanEval_55.py: 0.000050s
HumanEval_56.py: 0.000164s
HumanEval_57.py: 0.000296s
HumanEval_58.py: 0.000061s
HumanEval_59.py: 0.000079s
HumanEval_60.py: 0.000018s
HumanEval_61.py: 0.000157s
HumanEval_62.py: 0.000079s
HumanEval_63.py: 0.000175s
HumanEval_64.py: 0.000154s
HumanEval_66.py: 0.000299s
HumanEval_67.py: 0.000293s
HumanEval_68.py: 0.000222s
HumanEval_69.py: 0.001950s
HumanEval_70.py: 0.000714s
HumanEval_71.py: 0.000091s
HumanEval_72.py: 0.000043s
HumanEval_73.py: 0.000098s
HumanEval_74.py: 0.000344s
HumanEval_76.py: 0.000054s
HumanEval_77.py: 0.000106s
HumanEval_78.py: 0.000186s
HumanEval_79.py: 0.000032s
HumanEval_80.py: 0.000159s
HumanEval_81.py: 0.000126s
HumanEval_82.py: 0.000207s
HumanEval_83.py: 0.000029s
HumanEval_84.py: 0.000143s
HumanEval_85.py: 0.000080s
HumanEval_87.py: 0.000499s
HumanEval_88.py: 0.000086s
HumanEval_89.py: 0.001175s
HumanEval_90.py: 0.000108s
HumanEval_92.py: 0.000229s
HumanEval_94.py: 0.001004s
HumanEval_95.py: 0.000408s
HumanEval_96.py: 0.001334s
HumanEval_97.py: 0.000058s
HumanEval_98.py: 0.000137s
HumanEval_99.py: 0.000072s
HumanEval_100.py: 0.000093s
HumanEval_101.py: 0.000249s
HumanEval_102.py: 0.000030s
HumanEval_103.py: 0.000121s
HumanEval_104.py: 0.000337s
HumanEval_105.py: 0.000156s
HumanEval_106.py: 0.000173s
HumanEval_107.py: 0.000745s
HumanEval_109.py: 0.000110s
HumanEval_110.py: 0.000194s
HumanEval_111.py: 0.000660s
HumanEval_112.py: 0.000244s
HumanEval_113.py: 0.000172s
HumanEval_114.py: 0.000371s
HumanEval_115.py: 0.000133s
HumanEval_116.py: 0.000747s
HumanEval_117.py: 0.000676s
HumanEval_118.py: 0.000186s
HumanEval_119.py: 0.000270s
HumanEval_120.py: 0.000154s
HumanEval_121.py: 0.000134s
HumanEval_122.py: 0.000097s
HumanEval_123.py: 0.000119s
HumanEval_124.py: 0.000199s
HumanEval_126.py: 0.000909s
HumanEval_127.py: 0.000149s
HumanEval_128.py: 0.000733s
HumanEval_130.py: 0.001112s
HumanEval_131.py: 0.000143s
HumanEval_133.py: 0.000482s
HumanEval_136.py: 0.000303s
HumanEval_137.py: 0.000175s
HumanEval_138.py: 0.000025s
HumanEval_139.py: 0.000076s
HumanEval_140.py: 0.000165s
HumanEval_142.py: 0.000342s
HumanEval_143.py: 0.000398s
HumanEval_144.py: 0.000311s
HumanEval_147.py: 0.000580s
HumanEval_148.py: 0.000129s
HumanEval_149.py: 0.000273s
HumanEval_150.py: 0.000163s
HumanEval_151.py: 0.001009s
HumanEval_152.py: 0.000088s
HumanEval_153.py: 0.002187s
HumanEval_154.py: 0.000091s
HumanEval_155.py: 0.000367s
HumanEval_156.py: 0.000323s
HumanEval_157.py: 0.000213s
HumanEval_158.py: 0.000216s
HumanEval_159.py: 0.000078s
HumanEval_161.py: 0.000479s
HumanEval_162.py: 0.000084s
